tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
101,9,11.0,35,13,1.0,diÔn viªn xiÕc,Liªn ®oµn xiÕc VN,biÓu diÔn xiÕc,,,
101,9,11.0,35,14,,,,,,,
101,9,11.0,35,20,3.0,bèc thuèc ®«ng y,t¹i nhµ,ch÷a bÖnh,,,
101,9,11.0,35,20,1.0,bèc thuèc ®«ng y,t¹i nhµ,ch÷a bÖnh,,,
101,9,11.0,35,20,2.0,bèc thuèc ®«ng y,t¹i nhµ,ch÷a bÖnh,,,
101,9,15.0,15,13,1.0,Nghiªn cøu ®Ò tµi,ViÖn b¶o hé lao ®éng,Nghiªn cøu b¶o hé lao §,,,
101,9,15.0,15,13,3.0,C¸n bé hµnh chÝnh,ViÖn b¶o hé lao ®éng,Nghiªn cøu b¶o hé L§,,,
101,9,15.0,15,15,2.0,Kü s­,CT CP §iÖn tö M«i tr­êng,SX ThiÕt bÞ m«i tr­êng,,,
101,9,15.0,15,15,1.0,B¸n hµng,CTy §iÖn tö Hanel,SX §iÖn tö,,,
101,9,15.0,15,15,3.0,Gi¸o viªn,Tr­êng tiÓu häc Trung Tù,Gi¸o dôc,,,
101,9,15.0,15,19,1.0,C¸n bé phßng ®µo t¹o,T.T©m lao ®éng c«ng ®oµn,T­ vÊn viÖc lµm,,,
101,9,15.0,15,19,2.0,KÕ to¸n,TT©m lao ®éng cc«ng ®oµn,T­ vÊn  viÖc lµm,,,
101,9,19.0,26,13,4.0,nh©n viªn v¨n phßng,nhµ m¸y in ng©n hµng,in tiÒn,,,
101,9,19.0,26,13,3.0,nh©n viªn c«ng nghÖ trÇnt,viÖnvvsdich tÔ t­,hd y tÕ,,,
101,9,19.0,26,14,1.0,kÕ to¸n tr­ëng,ctycpmediÈm viªtnam,kinh doanh ®iÖntö,,,
101,9,19.0,26,15,3.0,l¸i xe,ctytnhhtïng th­,trang trÝ néi thÊt,,,
101,9,23.0,11,14,,,,,,,
101,9,23.0,11,15,1.0,l¸i « t«,t­ nh©n,vËn t¶i hµng ho¸,,,
101,9,23.0,11,15,2.0,b¸n giÇy dÐp,tù lµm,b¸n giÇy dÐp,,,
101,9,23.0,11,24,3.0,qu¶ng c¸o,Cty TNHH ý T­ëng Vµng,Qu¶ng C¸o,,,
101,9,23.0,11,24,1.0,b¶o vÖ,t­ nh©n,kinh doanh hµng thêi tran,,,
101,9,23.0,11,24,4.0,b¸n hµng,t­ nh©n,SX b¸nh ngät,,,
101,9,31.0,10,13,3.0,KÐ to¸n,CT Lam S¬n,In Ên,,,
101,9,31.0,10,13,1.0,Tæ tr­ëng d©n phè,UBND ph­êng,QLNN,,,
101,9,31.0,10,13,4.0,Kü thuËt,CT Lam S¬n,In Ên,,,
101,9,31.0,10,14,1.0,D¹y häc,Tr­êng TiÓu häc Gi¸p B¸t,Gi¸o dôc,,,
101,9,31.0,10,14,2.0,D¹y häc,Tr­êng tiÓu häc gi¸p B¸t,Gi¸o dôc,,,
101,9,31.0,10,15,,,,,,,
101,9,33.0,10,19,1.0,th­ ký tr­ëng bé m«n,tr­êng ®¹i häc y hn,gi¸o dôc,,,
101,9,33.0,10,20,2.0,nh©n viªn géi ®Çu,c¾t tãc géi ®Çu,c¾t tãc géi ®Çu,,,
101,9,33.0,10,20,1.0,b¸n con gièng,tù lµm,b¸n con gièng,,,
101,9,33.0,10,24,,,,,,,
101,9,35.0,24,13,2.0,nÊu ¨n,linh ®µm,dÞch vô lao ®éng viÖc µm,,,
101,9,35.0,24,13,1.0,l¸i x3e du lÞch,tõ liªm,vËn t¶i hµnh kh¸ch,,,
101,9,35.0,24,14,,,,,,,
101,9,35.0,24,20,2.0,b¸n b¶o hiÓm,cty bo¶ hiÓm manu,DV b¶o hiÓm,,,
101,9,35.0,24,20,1.0,l¸i xe,cty thuèc thó y,sx thuèc,,,
101,9,39.0,17,19,1.0,phã gi¸m ®èc,xn ®Çu t­ xd ®iÖn hn,xd c«ng tr×nh ®iÖn,,,
